ldong_code,univ_code,time
1111011000,U019,75
1111011000,U020,61
1111011000,U022,42
1111011000,U021,86
1111011000,U023,65
1111011000,U024,78
1111011000,U025,75
1111011000,U027,50
1111011000,U026,73
1111011000,U028,57
1111011000,U029,72
1111011000,U030,60
1111011000,U031,51
1111011000,U033,37
1111011000,U032,68
1111011000,U034,75
1111011000,U035,35
1111011000,U036,68
1111011000,U037,68
1111011000,U039,46
1111011000,U038,66
1111011000,U040,70
1111011000,U041,72
1111011000,U043,71
1111011000,U042,58
1111011000,U044,50
1111011000,U045,72
1111011000,U046,53
1111011000,V001,53
1111011000,U047,52
1111011000,V002,38
1111011100,C003,35
1111011100,B001,49
1111011100,C002,65
1111011100,C001,85
1111011100,C004,70
1111011100,C006,77
1111011100,C007,56
1111011100,C008,80
1111011100,C009,70
1111011100,E001,64
1111011100,M001,74
1111011100,P002,68
1111011100,P001,80
1111011100,U001,61
1111011100,C005,50
1111011100,U002,64
1111011100,U004,77
1111011100,U003,39
1111011100,U005,46
1111011100,U006,68
1111011100,U009,53
1111011100,U007,62
1111011100,U008,77
1111011100,U010,78
1111011100,U011,81
1111011100,U012,54
1111011100,U013,67
1111011100,U014,60
1111011100,U015,92
1111011100,U016,45
1111011100,U017,62
1111011100,U018,72
1111011100,U019,84
1111011100,U020,67
1111011100,U022,50
1111011100,U021,98
1111011100,U024,88
1111011100,U023,74
1111011100,U027,64
1111011100,U025,84
1111011100,U026,82
1111011100,U030,68
1111011100,U028,65
1111011100,U029,68
1111011100,U031,60
1111011100,U032,82
1111011100,U033,46
1111011100,U035,44
1111011100,U036,76
1111011100,U034,87
1111011100,U037,69
1111011100,U038,77
1111011100,U039,55
1111011100,U040,88
1111011100,U041,78
1111011100,U042,67
1111011100,U043,79
1111011100,U044,65
1111011100,U045,79
1111011100,U046,64
1111011100,U047,66
1111011100,V001,59
1111011100,V002,52
1111011200,C003,15
1111011200,B001,39
1111011200,C001,69
1111011200,C002,51
1111011200,C005,36
1111011200,C004,58
1111011200,C006,64
