adong_code,univ_code,time
1111064000,C005,51
1111064000,C004,49
1111064000,C006,56
1111064000,C007,39
1111064000,E001,51
1111064000,C008,52
1111064000,C009,47
1111064000,U001,26
1111064000,M001,59
1111064000,P001,76
1111064000,P002,49
1111064000,U002,51
1111064000,U003,46
1111064000,U004,54
1111064000,U005,42
1111064000,U006,54
1111064000,U007,40
1111064000,U009,42
1111064000,U008,52
1111064000,U012,39
1111064000,U010,74
1111064000,U011,49
1111064000,U013,44
1111064000,U014,69
1111064000,U016,55
1111064000,U015,71
1111064000,U017,54
1111064000,U022,15
1111064000,U018,45
1111064000,U019,62
1111064000,U020,68
1111064000,U021,74
1111064000,U023,56
1111064000,U024,72
1111064000,U025,80
1111064000,U027,34
1111064000,U028,35
1111064000,U026,78
1111064000,U029,45
1111064000,U030,48
1111064000,U032,60
1111064000,U031,44
1111064000,U033,54
1111064000,U034,63
1111064000,U036,56
1111064000,U035,53
1111064000,U038,59
1111064000,U037,62
1111064000,U039,56
1111064000,U044,28
1111064000,U040,47
1111064000,U041,50
1111064000,U042,52
1111064000,U043,59
1111064000,U045,55
1111064000,U046,40
1111064000,V002,29
1111064000,U047,62
1111065000,B001,21
1111064000,V001,46
1111065000,C003,46
1111065000,C001,85
1111065000,C004,62
1111065000,C002,67
1111065000,C005,58
1111065000,C007,46
1111065000,C006,78
1111065000,C008,55
1111065000,C009,54
1111065000,E001,58
1111065000,U001,15
1111065000,M001,56
1111065000,P002,57
1111065000,P001,83
1111065000,U002,58
1111065000,U003,45
1111065000,U004,61
1111065000,U005,52
1111065000,U006,57
1111065000,U007,43
1111065000,U009,49
1111065000,U008,55
1111065000,U012,48
1111065000,U011,62
1111065000,U010,85
1111065000,U013,52
1111065000,U016,53
1111065000,U015,70
1111065000,U014,67
1111065000,U017,62
1111065000,U018,48
1111065000,U019,65
1111065000,U022,23
1111065000,U020,64
1111065000,U021,81
1111065000,U027,30
1111065000,U023,65
1111065000,U024,66
1111065000,U025,97
1111065000,U026,84
1111065000,U028,38
1111065000,U029,48
1111065000,U030,65
1111065000,U033,52
1111065000,U031,52
1111065000,U032,67
1111065000,U034,70
1111065000,U035,51
1111065000,U036,63
1111065000,U037,78
1111065000,U038,66
1111065000,U039,62
1111065000,U040,50
1111065000,U044,33
1111065000,U041,68
1111065000,U042,55
1111065000,U045,55
1111065000,U043,66
1111065000,U046,48
1111065000,U047,68
1111065000,V001,61
1111065000,V002,36
1111067000,B001,25
1111067000,C003,49
1111067000,C005,59
1111067000,C004,42
1111067000,C001,69
1111067000,C002,69
1111067000,C006,66
1111067000,C007,42
1111067000,C009,42
1111067000,C008,52
1111067000,E001,49
1111067000,M001,45
1111067000,P002,41
1111067000,P001,78
1111067000,U002,49
1111067000,U003,47
1111067000,U004,57
1111067000,U006,40
1111067000,U005,47
1111067000,U009,53
1111067000,U007,34
1111067000,U001,37
1111067000,U008,49
1111067000,U010,76
1111067000,U012,43
1111067000,U011,52
1111067000,U013,38
1111067000,U014,69
1111067000,U015,58
1111067000,U016,57
1111067000,U017,54
1111067000,U018,58
1111067000,U019,54
1111067000,U020,66
1111067000,U023,45
1111067000,U021,77
1111067000,U024,55
1111067000,U022,33
1111067000,U025,76
1111067000,U027,45
1111067000,U028,39
1111067000,U026,74
1111067000,U029,53
1111067000,U030,46
1111067000,U033,62
1111067000,U031,48
1111067000,U034,61
1111067000,U032,62
1111067000,U035,63
1111067000,U036,60
1111067000,U039,56
1111067000,U037,61
1111067000,U038,62
1111067000,U040,44
1111067000,U044,30
1111067000,U041,51
1111067000,U042,38
1111067000,U043,58
1111067000,U045,50
1111067000,U046,38
1111067000,V001,44
1111068000,B001,29
1111067000,V002,31
1111067000,U047,52
1111068000,C003,52
1111068000,C001,72
1111068000,C004,50
1111068000,C005,55
1111068000,C002,79
1111068000,C006,74
1111068000,C007,44
1111068000,C008,57
1111068000,C009,48
1111068000,E001,56
1111068000,M001,52
1111068000,P002,49
1111068000,P001,81
1111068000,U002,56
1111068000,U001,41
1111068000,U003,52
1111068000,U004,65
1111068000,U006,45
1111068000,U005,52
1111068000,U007,42
1111068000,U009,54
1111068000,U008,54
1111068000,U011,58
1111068000,U012,44
1111068000,U010,80
1111068000,U013,46
1111068000,U015,69
1111068000,U016,62
1111068000,U014,67
1111068000,U017,56
1111068000,U018,54
1111068000,U019,61
1111068000,U022,36
1111068000,U020,74
1111068000,U023,53
1111068000,U021,79
1111068000,U024,66
1111068000,U025,78
1111068000,U027,50
1111068000,U026,77
1111068000,U028,45
1111068000,U029,50
1111068000,U030,54
1111068000,U031,50
1111068000,U032,65
1111068000,U033,66
1111068000,U034,68
1111068000,U035,55
1111068000,U036,68
1111068000,U038,64
1111068000,U037,63
1111068000,U039,60
1111068000,U040,52
1111068000,U044,46
1111068000,U042,44
1111068000,U041,60
1111068000,U043,64
1111068000,U045,56
1111068000,U046,46
1111068000,V001,51
1111068000,U047,60
1111069000,B001,34
1111068000,V002,34
1111069000,C003,59
1111069000,C002,73
1111069000,C004,48
1111069000,C001,80
1111069000,C005,68
1111069000,C006,54
1111069000,C007,47
1111069000,C009,49
1111069000,C008,54
1111069000,E001,53
1111069000,U001,40
1111069000,M001,45
1111069000,P002,46
1111069000,U002,53
1111069000,P001,82
1111069000,U003,49
1111069000,U007,34
1111069000,U004,57
1111069000,U005,49
1111069000,U006,51
1111069000,U009,49
1111069000,U008,48
1111069000,U010,81
1111069000,U011,53
1111069000,U012,46
1111069000,U013,39
1111069000,U014,73
1111069000,U016,60
1111069000,U015,59
1111069000,U017,59
1111069000,U018,55
1111069000,U019,55
1111069000,U022,38
1111069000,U021,81
1111069000,U020,71
1111069000,U023,50
1111069000,U024,55
1111069000,U028,36
1111069000,U027,50
1111069000,U025,85
1111069000,U026,83
1111069000,U030,52
1111069000,U029,50
1111069000,U031,52
1111069000,U032,69
1111069000,U034,66
1111069000,U033,65
1111069000,U035,60
1111069000,U036,59
1111069000,U037,68
1111069000,U038,66
1111069000,U039,57
1111069000,U040,44
1111069000,U044,28
1111069000,U041,52
1111069000,U042,46
1111069000,U045,51
1111069000,U043,62
1111069000,U046,43
1111069000,U047,57
1111069000,V001,53
1111069000,V002,37
1111070000,B001,34
1111070000,C001,74
1111070000,C003,56
1111070000,C002,72
1111070000,C004,47
1111070000,C005,65
1111070000,C006,53
1111070000,C007,48
1111070000,C008,56
1111070000,C009,46
1111070000,E001,52
1111070000,M001,44
1111070000,P002,45
1111070000,P001,81
1111070000,U002,52
1111070000,U004,63
1111070000,U003,48
1111070000,U005,48
1111070000,U006,44
1111070000,U007,33
1111070000,U009,46
1111070000,U001,37
1111070000,U008,53
1111070000,U011,48
1111070000,U010,80
1111070000,U013,38
1111070000,U012,45
1111070000,U014,73
1111070000,U015,58
1111070000,U018,52
1111070000,U016,59
1111070000,U017,58
1111070000,U019,54
1111070000,U020,70
1111070000,U023,50
1111070000,U021,95
1111070000,U024,54
1111070000,U022,38
1111070000,U027,50
1111070000,U025,81
1111070000,U026,79
1111070000,U029,47
1111070000,U028,33
1111070000,U030,53
1111070000,U031,51
1111070000,U032,68
1111070000,U034,65
1111070000,U033,62
1111070000,U035,62
1111070000,U036,58
1111070000,U037,66
1111070000,U040,41
1111070000,U038,65
1111070000,U039,64
1111070000,U044,25
1111070000,U041,51
1111070000,U042,42
1111070000,U043,61
1111070000,U045,46
1111070000,U046,42
1111070000,U047,56
1111070000,V001,53
1111070000,V002,38
1111071000,B001,27
1111071000,C001,72
1111071000,C003,61
1111071000,C004,41
1111071000,C002,76
1111071000,C006,65
1111071000,C007,52
1111071000,C005,61
1111071000,C009,39
1111071000,C008,50
1111071000,M001,53
1111071000,E001,53
1111071000,P002,46
1111071000,P001,82
1111071000,U002,53
1111071000,U003,49
1111071000,U004,53
1111071000,U005,49
1111071000,U006,39
1111071000,U008,47
1111071000,U009,52
1111071000,U001,42
1111071000,U012,45
1111071000,U011,49
1111071000,U007,31
1111071000,U010,80
1111071000,U013,46
1111071000,U015,63
1111071000,U016,59
1111071000,U018,44
1111071000,U014,74
1111071000,U017,58
1111071000,U019,55
1111071000,U022,33
1111071000,U020,71
1111071000,U023,44
1111071000,U024,59
1111071000,U021,92
1111071000,U027,52
1111071000,U025,79
1111071000,U028,32
1111071000,U026,77
1111071000,U029,52
1111071000,U030,43
1111071000,U033,67
1111071000,U031,58
1111071000,U032,66
1111071000,U034,67
1111071000,U035,67
1111071000,U036,57
1111071000,U038,72
1111071000,U037,64
1111071000,U039,58
1111071000,U040,43
1111071000,U041,56
1111071000,U042,37
1111071000,U043,58
1111071000,U045,47
1111071000,U044,35
1111071000,U046,43
1111071000,V001,53
