sttn_id,stop_number
10902,06125
10903,23191
10905,11335
10906,11180
10907,11285
10908,06154
10909,11184
10910,23335
10911,11191
109130,22288
10919,08211
10921,23190
10925,08191
10926,08212
10933,06126
10935,11186
10939,11277
10941,08192
109410,21218
109444,21216
10946,11185
109466,21207
109484,21215
109498,21208
10951,08213
109530,18136
109536,18137
109543,21172
109549,21173
10955,11254
109617,21174
109625,21171
10963,08214
109668,21175
109673,21170
10968,05220
10969,06227
10970,06228
109718,21176
109730,21169
10974,06156
10976,08193
10977,11245
109776,21168
109782,21177
10979,23234
109797,21154
109808,13214
109811,13213
109833,13160
10985,23249
109859,13157
109861,13158
109867,13162
109871,21155
10988,08145
109887,21146
10994,11210
10996,08194
11000,11279
110000661,11835
110000662,11836
110000663,11834
110000669,11833
11007,06131
11008,04190
11009,08144
11012,04212
11015,11370
11018,11371
11019,05216
11021,11189
11026,23246
11028,11212
11029,23438
11031,11280
11035,05221
11036,05219
11037,23235
110401,15108
11041,06151
11042,08195
11043,11368
110430,15151
11046,11369
110474,15153
110482,15148
11049,04208
11050,04213
110551,17104
110557,17106
11056,08196
11058,11208
11059,23194
11063,05224
11069,11451
11072,11209
11076,06149
11078,08197
11083,11322
11084,11374
11085,11367
11087,11323
11090,04207
110900053,11842
110908,06154
11093,06148
11094,05225
110968,05220
11097,11388
110974,06156
11098,11260
11099,23243
11102,11238
111035,05221
111036,05219
11104,11239
111041,06151
11105,06140
11107,05200
111076,06149
111107,05200
111116,05223
111156,11312
11116,05223
111160,11319
111173,06247
111179,11464
11118,11320
111183,11314
111188,11317
11119,11447
11121,06141
11125,11321
11131,06257
11132,11501
11135,06134
11136,06256
11137,06142
11141,06135
11144,06137
11145,06143
11151,11448
11153,05214
111559,07294
11156,11312
11159,11379
11160,11319
11161,11449
11165,11236
11166,11216
11167,11237
11168,05201
11169,11347
11170,05202
11173,06247
11174,04214
11178,05235
11179,11464
11183,11314
11188,11317
11193,05218
11203,11234
11204,05204
11206,05248
11209,11235
11210,11223
11213,05247
11214,11222
11216,11356
11218,06254
11219,05250
11220,05229
11221,11357
11222,05212
11224,05246
11225,05236
11228,05245
11229,11218
11230,05232
11233,11220
11236,11219
11238,11221
11240,05213
11242,11233
11245,06237
11258,05228
11268,04216
11269,07144
11277,11392
11278,07145
11279,11440
11280,11393
11281,11439
11282,05243
11283,07217
11287,05227
11289,11177
11290,11120
11291,07216
11292,05234
11293,06235
11296,11354
11297,07218
11298,11355
11299,05244
11300,11353
11302,07146
11303,06236
11304,11352
11306,07147
113067,03239
11307,11105
11311,05211
11313,11441
11314,05210
11316,05209
11317,05205
11318,05102
11320,11351
11321,11106
11323,05189
11324,05180
11326,05241
11328,05101
11331,05242
11332,11119
11334,11176
11335,05251
11340,11121
11341,07221
11342,07220
11347,11422
11349,11420
11352,11418
113529,17237
11353,07252
11354,11350
11357,11421
11361,11419
11363,05239
11364,07102
11365,11415
11366,05238
11367,11414
11370,05190
11371,05231
11372,11423
11374,05252
113747,05222
11375,05140
11378,11348
11379,05143
11381,11424
113816,07296
11382,11413
11383,07148
11385,11412
11387,11398
113900035,14536
113900230,14989
113900251,14534
113900267,14537
113900282,14990
11392,11122
11393,11394
11394,11123
11396,24165
11398,11396
11399,11395
11400,07253
11401,07105
11402,11124
11404,07222
11405,11115
11408,11397
11409,05105
11410,05106
11411,24155
11412,07223
11413,05141
11414,23397
11415,05178
11416,05179
11418,05253
11419,11130
11420,07254
11421,11410
11426,24164
11429,11128
11433,11132
11435,05108
11436,07119
11439,05107
11440,11129
11443,07117
11444,07115
11447,07120
11448,07113
11449,07121
11451,07111
11452,07118
11453,07256
11455,07116
11456,07110
11458,11126
11459,07114
11460,07112
11461,07123
11462,11125
11465,07225
114659,03180
11466,24163
114661,03182
114662,03181
11467,07150
11472,11403
11473,05191
11475,07241
11476,11404
11477,05109
11478,05124
11484,05185
11486,05125
11488,07240
11489,05126
11490,24162
11491,05111
11492,11407
11493,05176
11496,11408
11497,05177
11498,07128
11500,05128
11503,23387
11505,05127
11514,05129
11516,11118
11517,23386
11519,05130
11521,11139
11522,23388
115226,21264
11523,07152
115238,06253
115239,06358
11524,07236
115242,04204
115243,04203
115244,04288
115245,04291
11525,07257
11527,07258
11528,07235
11529,05142
11530,07186
11531,07185
11532,07153
11535,07245
11537,05144
11542,11133
11543,11134
11547,24161
11551,11135
11552,07183
11553,07227
11554,11136
11557,07226
11558,24160
11559,07294
11560,07182
11564,07259
11565,07295
11569,11138
11575,07260
11578,07169
11581,07168
11591,07154
11595,07173
11596,07261
11597,11141
11599,07172
11601,07290
11602,11140
11603,23389
11604,07291
11605,07175
11606,07228
11610,07174
11611,07177
11614,07176
11617,07229
11630,07285
11631,07287
11634,07288
116343,21165
11636,07263
11642,11143
11644,24175
11648,11142
11650,07284
11652,07265
11653,07283
11654,07230
11657,07231
11663,07158
11666,24148
11671,24147
11675,07134
11688,05267
11690,07267
11694,11145
11695,24176
11696,11144
11700,07196
11701,07275
11704,07277
11707,07278
11709,07232
11710,11147
11711,07279
11712,07276
11713,11146
11715,05163
11716,07233
11718,07193
11732,24146
11740,07137
11741,07190
11744,24133
11748,07307
11752,07306
11754,07304
11759,07305
11762,24130
11787,11150
11791,11151
11797,07141
11799,24389
11805,24388
11808,11153
11811,24125
11824,11152
11833,11155
11834,24136
11837,24114
11839,24115
11843,11154
11850,24126
11863,24390
11869,24197
11880,24120
11884,24213
11888,24200
11889,24220
11890,24241
11893,24119
11899,24111
11907,24201
11926,24363
11928,24204
11929,24110
11932,24225
11934,24371
11935,24219
11944,24226
11946,24218
11950,24335
11956,24206
11958,24109
11963,24224
11966,24108
11970,25217
11972,25216
11977,25163
11979,24375
11986,24229
11988,25161
11995,25162
11997,24230
12003,25159
12007,25160
12012,25284
12013,25215
120196,13200
12020,25214
12022,25283
12023,24222
120274,17105
12028,25157
12040,24249
12041,24248
12047,24362
12052,24361
12066,25213
12067,25212
12080,25285
12103,24358
12108,24345
12114,25211
12116,24263
12117,24262
12119,25210
12121,25152
12122,25151
12123,24356
12126,25126
12127,24245
12130,24312
12133,25125
12139,24244
12142,25227
12144,25226
12148,24259
12152,24354
12156,25248
12157,24261
12161,25249
12166,24351
12167,24266
12169,25246
12171,24314
12172,24267
12174,25247
12177,25223
12179,25244
12180,25222
12181,24257
12184,25245
12185,25124
12186,25123
12188,24268
12190,24269
12192,25242
12195,25243
12201,24254
12204,24255
12214,25193
12215,25192
12216,24237
12217,25239
12218,25238
12220,24270
12221,25122
12223,25218
12229,25191
12230,25219
12231,25236
12232,25145
12233,25146
12235,25237
12236,25190
12237,25234
12238,25233
12239,25235
12240,24301
12242,25119
12244,24302
12249,25120
12251,24273
12253,24284
12257,25144
12260,24277
12261,24276
12262,25267
12263,25266
12264,25143
12265,24299
12270,25198
12271,24300
12274,25199
12277,24283
12278,25196
12279,24303
12281,25118
12283,25197
12285,25264
12287,25117
12288,24298
12289,25265
12295,25141
12296,25142
12311,25262
12312,25263
12313,25182
12316,25183
12318,25174
12320,25173
12322,24280
12324,24287
12327,25140
12330,24292
12332,25180
12333,25139
12334,24291
12336,25181
12337,25172
12339,24289
12341,25177
12342,24290
12343,24288
12344,25137
12345,25171
12359,25256
12362,25257
12366,25169
12368,25170
12372,25133
12374,25134
12375,25255
12376,25254
12377,25165
12379,25166
12380,25168
12381,25167
12386,25253
12387,25252
12390,25132
12391,25131
12392,25103
12394,25105
12395,25107
12396,25106
12397,25108
12398,25109
12400,25250
12401,25251
12402,25110
12404,25101
12696,16162
12787,16203
12798,16204
12799,16221
12803,16222
12809,16223
12816,16296
12823,08295
12856,22279
12858,22280
12859,22339
12862,08125
12863,08126
12869,08002
12880,22277
12883,22278
12897,23295
12903,22275
12905,22276
12908,10018
12918,23270
12941,06169
12951,09179
12952,08275
12954,06276
12958,06277
12965,10114
12968,10008
12988,10136
12995,10133
12996,10135
12997,04174
12999,04173
13000,04183
13002,04217
13006,04184
13015,04239
13016,11301
13018,11300
13020,23218
13025,08220
13026,11266
13029,11201
13061,01143
13067,03239
13077,03234
13093,03127
131,16015
131606,02220
13185,22215
13187,08259
13188,09195
131883,16172
13189,09194
13197,22140
13198,09196
13199,09197
132,16014
13212,01238
13225,20209
13227,20210
13241,12332
13242,12331
13245,18200
13246,18199
13254,20208
13255,20207
13256,12329
13257,12175
13260,13181
13264,12131
133,16839
133035,10314
133038,10262
133039,10315
133041,10311
133062,03238
13322,14226
13341,14129
13361,14130
13371,20199
13372,20200
13374,20152
13396,13198
134,16800
13426,16291
13427,16292
13429,17217
13431,16297
13438,16330
13440,15219
13441,16264
13452,16138
13455,16236
13458,16136
135,15695
13512,15197
13513,15169
13529,17237
13576,19317
13579,19316
136,15696
13607,19213
13610,18125
13611,19169
13613,19168
13624,19266
13675,12173
13691,06157
13694,06269
13706,11190
13707,11276
13715,23466
13721,11282
13725,11275
13730,11213
13731,11456
